"new_id","Date","Ocean","year"
96,2009-05-24,"Pacific",2009
173,2007-10-31,"Pacific",2007
226,2009-02-14,"Pacific",2009
315,2009-03-14,"Pacific",2009
315,2010-02-03,"Pacific",2010
326,2009-03-01,"Pacific",2009
329,2009-03-01,"Pacific",2009
343,2005-03-13,"Pacific",2005
343,2006-05-07,"Pacific",2006
357,2005-03-14,"Pacific",2005
357,2006-05-08,"Pacific",2006
357,2007-05-07,"Pacific",2007
419,2015-10-31,"Pacific",2015
430,2014-11-22,"Pacific",2014
447,2015-12-13,"Pacific",2015
448,2012-09-16,"Pacific",2012
452,2014-12-19,"Pacific",2014
460,2014-05-24,"Pacific",2014
466,2014-10-05,"Pacific",2014
466,2015-11-21,"Pacific",2015
467,2009-07-18,"Pacific",2009
481,2015-11-27,"Pacific",2015
482,2015-11-28,"Pacific",2015
484,2013-11-03,"Pacific",2013
484,2014-11-08,"Pacific",2014
485,2015-11-27,"Pacific",2015
486,2015-11-29,"Pacific",2015
489,2013-11-06,"Pacific",2013
660,2016-06-29,"Pacific",2016
661,2016-06-29,"Pacific",2016
677,2015-11-17,"Pacific",2015
677,2016-11-12,"Pacific",2016
678,2015-11-17,"Pacific",2015
678,2016-11-12,"Pacific",2016
1051,2016-02-09,"Pacific",2016
1052,2016-02-09,"Pacific",2016
1053,2015-05-03,"Pacific",2015
1053,2016-03-12,"Pacific",2016
1268,2014-05-27,"Pacific",2014
1296,2016-07-14,"Indian",2016
1297,2015-09-17,"Indian",2015
1297,2016-07-14,"Indian",2016
1360,2015-04-26,"Pacific",2015
1360,2016-05-08,"Pacific",2016
1363,2015-04-24,"Pacific",2015
1381,2015-09-15,"Indian",2015
1381,2016-07-11,"Indian",2016
1385,2014-05-31,"Pacific",2014
1389,2009-08-22,"Pacific",2009
1389,2011-07-09,"Pacific",2011
1389,2015-10-24,"Pacific",2015
1474,2016-06-10,"Pacific",2016
1481,2016-06-11,"Pacific",2016
1500,2014-09-27,"Pacific",2014
1528,2004-08-05,"Pacific",2004
1542,2004-08-03,"Pacific",2004
1557,2014-07-18,"Pacific",2014
1558,2013-07-20,"Pacific",2013
1558,2014-07-19,"Pacific",2014
1559,2013-07-20,"Pacific",2013
1559,2014-07-19,"Pacific",2014
1638,2016-09-14,"Pacific",2016
1989,2003-11-18,"Pacific",2003
2147,2011-11-05,"Atlantic",2011
2179,2010-10-11,"Atlantic",2010
2180,2010-10-07,"Atlantic",2010
2181,2010-10-13,"Atlantic",2010
2200,2012-11-25,"Atlantic",2012
2227,2011-05-08,"Atlantic",2011
2227,2013-11-24,"Atlantic",2013
