"new_id","Date","Year","dhw_max","parrot","macro","ssta_freq_sd","temp_max","depth","exposure_fac","cyclone_mag","turbidity","urchin_sum_all"
2,"2004-12-14",2004,7.14999984018505,0.75,0,2.023333333,303.1833333,2,0,48.23159,NA,4.5
2,"2005-12-06",2005,3.25999992713332,0.5,0,2.023333333,303.1833333,2,0,48.23159,NA,4.25
2,"2003-12-13",2003,0,0,0,2.023333333,303.1833333,2,0,48.23159,0.04057136,0.25
3,"2012-01-21",2012,2.68999993987381,9.75,0.0125,2.023333333,303.1833333,1,0,48.23159,NA,1.75
3,"2013-02-20",2013,3.97999991104007,10.75,0.1375,2.023333333,303.1833333,1,0,48.23159,NA,1.5
3,"2014-02-25",2014,0,22.25,0.01875,2.023333333,303.1833333,1,0,48.23159,NA,3
3,"2010-02-12",2010,5.62999987415969,29.75,0.0125,2.023333333,303.1833333,1,0,48.23159,0.036061416,6.5
3,"2011-02-14",2011,2.15999995172024,14.75,0,2.023333333,303.1833333,1,0,48.23159,0.035856264,3.75
5,"2010-02-12",2010,5.62999987415969,17.75,0.00625,2.023333333,303.1833333,3.5,0,48.23159,0.036061416,0.25
5,"2011-02-14",2011,2.15999995172024,1.25,0,2.023333333,303.1833333,3.5,0,48.23159,0.035856264,1.5
6,"2013-02-20",2013,3.97999991104007,8.25,0,2.023333333,303.1833333,3,0,48.23159,NA,1.25
6,"2014-02-25",2014,0,5,0.00625,2.023333333,303.1833333,3,0,48.23159,NA,0.5
6,"2003-12-09",2003,0,0,0,2.023333333,303.1833333,3,0,48.23159,0.04057136,3
6,"2004-12-14",2004,7.14999984018505,7.25,0,2.023333333,303.1833333,3,0,48.23159,0.035239943,0.5
7,"2003-10-17",2003,1.13999997451901,0.5,0.01875,2,302.03,3,0,50.56902,NA,0
7,"2006-04-07",2006,6.10999986343086,1.25,0,2,302.03,3,0,50.56902,NA,19.25
9,"2013-02-03",2013,4.68999989517033,3.75,0.025,2,302.03,2.3,0,50.56902,NA,118.25
9,"2014-03-16",2014,0,7.75,0.05,2,302.03,2.3,0,50.56902,NA,55.5
15,"1997-08-28",1997,NA,NA,0,2.63,305.01,2,0,54.374639,NA,0
17,"2012-01-21",2012,2.55999994277954,1.5,0,2.023333333,303.1833333,4,0,48.23159,NA,0.25
17,"2003-12-09",2003,0,0,0,2.023333333,303.1833333,4,0,48.23159,0.040739565,0
17,"2010-02-12",2010,5.72999987192452,2,0.04375,2.023333333,303.1833333,4,0,48.23159,0.036237046,0.25
17,"2011-02-14",2011,2.02999995462596,1.5,0.0125,2.023333333,303.1833333,4,0,48.23159,0.035561027,0.25
19,"2013-01-13",2013,4.05999990925193,10,0.0375,2.23,303.26,4.3,0,32.610093,NA,0.5
19,"2014-03-21",2014,0,16.25,0.0875,2.23,303.26,4.3,0,32.610093,NA,1.75
20,"2013-01-12",2013,4.05999990925193,2.5,0.15,2.103333333,303.42,2,0,32.610093,NA,0
20,"2014-03-21",2014,0,1.75,0.20625,2.103333333,303.42,2,0,32.610093,NA,0
21,"2013-01-12",2013,4.04999990947545,19.5,0.00625,2.0425,303.6575,2,0,32.610093,NA,0.25
21,"2014-03-20",2014,0,15.25,0.0375,2.0425,303.6575,2,0,32.610093,NA,0
22,"2012-01-15",2012,1.09999997541308,1,0.4625,1.71,304.2,4.5,0,50.005504,NA,0.25
22,"2013-03-31",2013,0.30999999307096,10.5,0.51875,1.71,304.2,4.5,0,50.005504,NA,0.25
22,"2014-05-03",2014,0.589999986812472,8,0.4625,1.71,304.2,4.5,0,50.005504,NA,1.75
22,"2010-04-24",2010,3.37999992445111,8.25,0.125,1.71,304.2,4.5,0,50.005504,0.070623003,3.75
22,"2011-03-06",2011,0.959999978542328,3.75,0.01875,1.71,304.2,4.5,0,50.005504,0.051167998,2.75
23,"2004-12-12",2004,4.36999990232289,4.75,0,1.54,303.94,6.5,0,50.049368,NA,0
23,"2003-12-14",2003,0,5.75,0,1.54,303.94,6.5,0,50.049368,0.058490001,0.5
24,"2008-04-30",2008,2.85999993607402,4,0,1.54,303.94,6,0,50.049368,0.078799002,0.25
24,"2009-01-28",2009,2.85999993607402,3.5,0,1.54,303.94,6,0,50.049368,0.066175997,0.5
24,"2010-08-02",2010,0,12,0.04375,1.54,303.94,6,0,50.049368,0.076504998,0.75
24,"2011-03-06",2011,0.939999978989363,5.5,0.00625,1.54,303.94,6,0,50.049368,0.065232001,3
25,"2013-03-31",2013,0.299999993294477,4.5,0.03125,1.54,303.94,7,0,50.049368,NA,2.75
25,"2014-05-03",2014,0.449999989941716,6.25,0.01875,1.54,303.94,7,0,50.049368,NA,6
26,"2010-02-25",2010,5.89999986812472,6.5,0,1.95,302.82,2,0,57.938665,0.064000003,4.5
26,"2011-04-19",2011,2.67999994009733,3,0,1.95,302.82,2,0,57.938665,0.076335996,11
27,"2013-03-24",2013,4.33999990299344,18.5,0,1.95,302.82,2.3,0,57.938665,NA,12.75
27,"2014-01-01",2014,0,15.75,0,1.95,302.82,2.3,0,57.938665,NA,10.5
28,"2010-02-25",2010,5.90999986790121,9.25,0.05,1.95,302.82,3.5,0,57.938665,0.036503003,0.75
28,"2011-04-19",2011,2.71999993920326,6.25,0.15625,1.95,302.82,3.5,0,57.938665,0.034936145,0.25
29,"2013-03-24",2013,4.33999990299344,15.75,0.63125,1.95,302.82,4.3,0,57.938665,NA,0
29,"2014-01-01",2014,0,5.25,0.54375,1.95,302.82,4.3,0,57.938665,NA,0.5
30,"2004-11-07",2004,6.6599998511374,0,0,2.02,303.29,3,0,57.938665,0.039516436,3.5
30,"2010-02-25",2010,5.90999986790121,1.25,0,2.02,303.29,3,0,57.938665,0.036506843,28.25
30,"2011-04-19",2011,2.71999993920326,0.25,0.14375,2.02,303.29,3,0,57.938665,0.03494172,13.5
32,"2006-10-28",2006,0.449999989941716,0,0,2.06,303.2,2.5,0,55.933429,0.0336137,2.25
32,"2007-11-10",2007,0,0.75,0,2.06,303.2,2.5,0,55.933429,0.034489528,1.5
32,"2010-02-24",2010,6.5999998524785,12.25,0.11875,2.06,303.2,2.5,0,55.933429,0.035006737,0.75
32,"2011-04-20",2011,3.60999991931021,5.5,0,2.06,303.2,2.5,0,55.933429,0.102792002,3.75
34,"2006-10-28",2006,0.439999990165234,0.5,0,2.19,303.2,4,0,55.933429,0.033656601,1
34,"2007-11-10",2007,0,11.25,0,2.19,303.2,4,0,55.933429,0.034492228,0.5
34,"2010-02-24",2010,6.47999985516071,0.5,0.00625,2.19,303.2,4,0,55.933429,0.035009214,1.75
34,"2011-04-20",2011,3.51999992132187,0.5,0,2.19,303.2,4,0,55.933429,0.183669001,1.25
35,"2003-10-26",2003,0,0.25,0,2.19,303.2,2.5,0,55.933429,0.036736249,0.25
35,"2004-11-06",2004,6.70999985001981,0.75,0,2.19,303.2,2.5,0,55.933429,0.039840888,1.25
42,"2010-04-07",2010,1.58999996446073,5,0.275,1.43,303.17,5,0,54.130062,0.025800001,0.5
42,"2011-04-06",2011,0.459999989718199,7,0.1875,1.43,303.17,5,0,54.130062,0.026299,0.75
43,"2013-04-10",2013,0.539999987930059,4,0.225,1.43,303.17,6,1,54.130062,NA,0.25
43,"2014-04-16",2014,0,0.5,0.175,1.43,303.17,6,1,54.130062,NA,0.25
43,"2003-11-02",2003,0,0,0,1.43,303.17,6,0,54.130062,0.035563449,0
43,"2004-11-07",2004,4.12999990768731,2.5,0,1.43,303.17,6,0,54.130062,0.037733,0
44,"2005-11-03",2005,1.3199999704957,1.25,0.14375,1.43,303.17,8,1,54.130062,NA,0.5
44,"2004-11-07",2004,4.12999990768731,5.75,0,1.43,303.17,8,1,54.130062,0.037733,0
44,"2010-04-07",2010,1.58999996446073,7.75,0.25625,1.43,303.17,8,1,54.130062,0.025800001,2.5
44,"2011-04-06",2011,0.459999989718199,8.25,0.00625,1.43,303.17,8,1,54.130062,0.026299,3
45,"2013-04-10",2013,0.539999987930059,3.5,0.325,1.43,303.17,5.3,1,54.130062,NA,0.5
45,"2014-04-16",2014,0,2.5,0.19375,1.43,303.17,5.3,1,54.130062,NA,1.25
46,"2013-01-16",2013,0.789999982342124,24.5,0.33125,1.33,303.57,4.8,0,59.332992,NA,0
46,"2014-01-24",2014,0,25.75,0.23125,1.33,303.57,4.8,0,59.332992,NA,0.25
47,"2013-01-16",2013,0.789999982342124,2.25,0.38125,1.33,303.57,7.8,0,59.332992,NA,69
47,"2014-01-24",2014,0,5,0.1875,1.33,303.57,7.8,0,59.332992,NA,60
48,"2004-11-06",2004,4.23999990522861,4.75,0,1.513333333,302.9966667,5,1,50.274206,NA,0.5
48,"2003-11-04",2003,0,0.75,0,1.513333333,302.9966667,5,0,50.274206,0.033747152,0.5
48,"2005-11-07",2005,2.24999994970858,2.25,0,1.513333333,302.9966667,5,0,50.274206,0.034101068,0
49,"2012-04-03",2012,0.519999988377094,3.25,0.05,1.513333333,302.9966667,3.5,1,50.274206,NA,1
49,"2013-04-09",2013,0.519999988377094,7,0.025,1.513333333,302.9966667,3.5,1,50.274206,NA,0
49,"2014-04-15",2014,0,8,0.0125,1.513333333,302.9966667,3.5,1,50.274206,NA,0.5
49,"2010-04-06",2010,1.12999997474253,2.25,0.01875,1.513333333,302.9966667,3.5,0,50.274206,0.034457224,0
49,"2011-04-05",2011,0.459999989718199,26.75,0,1.513333333,302.9966667,3.5,0,50.274206,0.033838143,1.5
50,"2012-04-03",2012,0.519999988377094,12.25,0.04375,1.29,303.27,5,1,50.274206,NA,0.25
50,"2013-04-09",2013,0.519999988377094,11.75,0.01875,1.29,303.27,5,1,50.274206,NA,0
50,"2014-04-15",2014,0,13.25,0.0125,1.29,303.27,5,1,50.274206,NA,0.25
50,"2005-11-07",2005,2.24999994970858,4.5,0.03125,1.29,303.27,5,0,50.274206,0.034101068,0
50,"2010-04-06",2010,1.12999997474253,9.75,0.0375,1.29,303.27,5,0,50.274206,0.034457224,2.25
50,"2011-04-05",2011,0.459999989718199,18.25,0,1.29,303.27,5,0,50.274206,0.033838143,6.25
53,"2013-01-17",2013,0.92999997921288,10.75,0.09375,1.29,303.44,4,0,57.168342,NA,18.25
53,"2014-01-23",2014,0,8.5,0.0375,1.29,303.44,4,0,57.168342,NA,8.75
54,"2013-04-11",2013,0.499999988824129,3,0.13125,1.64,303.38,5,0,51.277073,NA,0.5
54,"2014-04-17",2014,0,3.75,0.18125,1.64,303.38,5,0,51.277073,NA,0.5
54,"2003-11-05",2003,0,0,0,1.64,303.38,5,0,51.277073,0.033599885,0
54,"2004-11-05",2004,4.90999989025295,0.5,0,1.64,303.38,5,0,51.277073,0.037309225,4
54,"2007-01-11",2007,0.299999993294477,3.75,0.05625,1.64,303.38,5,0,51.277073,0.036025509,0.25
