"new_id","Reef_Check_ID","Lat","Long","Depth","Date","Year","Location","macro","parrot","bleaching","coral"
1,"35.29.99E.21.48.02S",-21.80027778,35.49972222,7.5,2001-11-22,2001,"Mozambique",0,0.25,NA,0.45
2,"165.27.198E.21.39.698S",-21.66163889,165.4533056,2,2004-12-14,2004,"New Caledonia",0,0.75,NA,0.0625
2,"165.27.198E.21.39.698S",-21.66163889,165.4533056,2,2005-12-06,2005,"New Caledonia",0,0.5,NA,0.1375
3,"165.27.198E.21.39.698S",-21.66163889,165.4533056,1,2012-01-21,2012,"New Caledonia",0.0125,9.75,NA,0.1375
3,"165.27.198E.21.39.698S",-21.66163889,165.4533056,1,2013-02-20,2013,"New Caledonia",0.1375,10.75,NA,0.1125
3,"165.27.198E.21.39.698S",-21.66163889,165.4533056,1,2014-02-25,2014,"New Caledonia",0.01875,22.25,NA,0.125
3,"165.27.198E.21.39.698S",-21.66163889,165.4533056,1,2015-03-22,2015,"New Caledonia",0.01875,21,NA,0.1375
4,"21S165E3",-21.65833333,165.45,3,1998-10-04,1998,"New Caledonia",0.00625,NA,NA,0.375
5,"165.27.376E.21.39.211S",-21.65352778,165.4562778,3.5,2012-01-21,2012,"New Caledonia",0,7.5,NA,0.38125
6,"165.27.376E.21.39.211S",-21.65352778,165.4562778,3,2013-02-20,2013,"New Caledonia",0,8.25,NA,0.35625
6,"165.27.376E.21.39.211S",-21.65352778,165.4562778,3,2014-02-25,2014,"New Caledonia",0.00625,5,NA,0.38125
6,"165.27.376E.21.39.211S",-21.65352778,165.4562778,3,2015-03-22,2015,"New Caledonia",0.01875,8,NA,0.4
7,"166.23.14E.22.15.48S",-22.258,166.3856667,3,2001-12-06,2001,"New Caledonia",0,0,NA,0.55625
7,"166.23.14E.22.15.48S",-22.258,166.3856667,3,2003-10-17,2003,"New Caledonia",0.01875,0.5,NA,0.2125
7,"166.23.14E.22.15.48S",-22.258,166.3856667,3,2006-04-07,2006,"New Caledonia",0,1.25,NA,0.23125
8,"166.23.14E.22.15.48S",-22.258,166.3856667,2,2012-01-05,2012,"New Caledonia",0.025,5.75,NA,0.375
9,"166.23.14E.22.15.48S",-22.258,166.3856667,2.3,2013-02-03,2013,"New Caledonia",0.025,3.75,NA,0.4125
9,"166.23.14E.22.15.48S",-22.258,166.3856667,2.3,2014-03-16,2014,"New Caledonia",0.05,7.75,NA,0.41875
9,"166.23.14E.22.15.48S",-22.258,166.3856667,2.3,2015-01-13,2015,"New Caledonia",0.05625,0.25,NA,0.39375
10,"22S166E13",-22.25166667,166.265,3,1998-09-20,1998,"New Caledonia",0,NA,NA,0.725
11,"22N166E9",-22.22,166.3233333,4,1998-09-20,1998,"New Caledonia",0.0125,NA,NA,0.26875
12,"43.11.939E.22.03.689S",-22.06147222,43.19897222,6,2003-08-18,2003,"Madagascar",0.441666666666667,0,NA,0
13,"21S113E1",-21.90944444,113.9652778,3,1998-09-03,1998,"Northwest Australia",0,NA,NA,0.53125
14,"21S114E2",-21.86222222,114.1730556,6,1997-08-28,1997,"Northwest Australia",0,NA,NA,0.56875
15,"21S114E1",-21.85833333,114.1669444,2,1997-08-28,1997,"Northwest Australia",0,NA,NA,0.45
15,"21S114E1",-21.85833333,114.1669444,2,1998-08-31,1998,"Northwest Australia",0.0125,NA,NA,0.6375
16,"21S165E2",-21.64083333,165.4466667,3,1998-10-04,1998,"New Caledonia",0,NA,NA,0.7125
17,"165.27.25E.21.37.79S",-21.62983333,165.4541667,4,2012-01-21,2012,"New Caledonia",0,1.5,NA,0.55
17,"165.27.25E.21.37.79S",-21.62983333,165.4541667,4,2013-02-20,2013,"New Caledonia",0.16875,4.5,NA,0.44375
18,"21S165E1",-21.6275,165.4533333,3,1998-10-04,1998,"New Caledonia",0.09375,NA,NA,0.625
19,"165.22.1.7E.21.37.30.2S",-21.62505556,165.3671389,4.3,2013-01-13,2013,"New Caledonia",0.0375,10,NA,0.33125
19,"165.22.1.7E.21.37.30.2S",-21.62505556,165.3671389,4.3,2014-03-21,2014,"New Caledonia",0.0875,16.25,NA,0.30625
19,"165.22.1.7E.21.37.30.2S",-21.62505556,165.3671389,4.3,2015-03-07,2015,"New Caledonia",0.1,3.5,NA,0.31875
20,"165.22.50E.21.36.48.8S",-21.61355556,165.3805556,2,2013-01-12,2013,"New Caledonia",0.15,2.5,NA,0.13125
20,"165.22.50E.21.36.48.8S",-21.61355556,165.3805556,2,2014-03-21,2014,"New Caledonia",0.20625,1.75,NA,0.23125
20,"165.22.50E.21.36.48.8S",-21.61355556,165.3805556,2,2015-03-08,2015,"New Caledonia",0.15625,3.75,NA,0.20625
21,"165.20.18.4E.21.35.52S",-21.59777778,165.3384444,2,2013-01-12,2013,"New Caledonia",0.00625,19.5,NA,0.39375
21,"165.20.18.4E.21.35.52S",-21.59777778,165.3384444,2,2014-03-20,2014,"New Caledonia",0.0375,15.25,NA,0.375
21,"165.20.18.4E.21.35.52S",-21.59777778,165.3384444,2,2015-03-07,2015,"New Caledonia",0.025,24.25,NA,0.25
22,"166.15.806E.21.35.601S",-21.59336111,166.2634444,4.5,2012-01-15,2012,"New Caledonia",0.4625,1,NA,0.18125
22,"166.15.806E.21.35.601S",-21.59336111,166.2634444,4.5,2013-03-31,2013,"New Caledonia",0.51875,10.5,NA,0.0375
22,"166.15.806E.21.35.601S",-21.59336111,166.2634444,4.5,2014-05-03,2014,"New Caledonia",0.4625,8,NA,0.03125
22,"166.15.806E.21.35.601S",-21.59336111,166.2634444,4.5,2015-04-22,2015,"New Caledonia",0.23125,11.25,NA,0.03125
23,"166.20.248E.21.33.38S",-21.55633333,166.3374722,6.5,2004-12-12,2004,"New Caledonia",0,4.75,NA,0.35
24,"166.20.248E.21.33.38S",-21.55633333,166.3374722,6,2012-01-15,2012,"New Caledonia",0,2.25,NA,0.275
25,"166.20.248E.21.33.38S",-21.55633333,166.3374722,7,2013-03-31,2013,"New Caledonia",0.03125,4.5,NA,0.34375
25,"166.20.248E.21.33.38S",-21.55633333,166.3374722,7,2014-05-03,2014,"New Caledonia",0.01875,6.25,NA,0.38125
25,"166.20.248E.21.33.38S",-21.55633333,166.3374722,7,2015-04-22,2015,"New Caledonia",0.025,14.25,NA,0.33125
26,"164.57.507E.21.24.635S",-21.41058333,164.9584444,2,2012-03-30,2012,"New Caledonia",0,5.75,NA,0.3
27,"164.57.507E.21.24.635S",-21.41058333,164.9584444,2.3,2013-03-24,2013,"New Caledonia",0,18.5,NA,0.175
27,"164.57.507E.21.24.635S",-21.41058333,164.9584444,2.3,2014-01-01,2014,"New Caledonia",0,15.75,NA,0.30625
27,"164.57.507E.21.24.635S",-21.41058333,164.9584444,2.3,2015-01-18,2015,"New Caledonia",0,6,NA,0.31875
28,"164.58.035E.21.22.82S",-21.38033333,164.96725,3.5,2012-03-30,2012,"New Caledonia",0.55,3.25,NA,0.075
29,"164.58.035E.21.22.82S",-21.38033333,164.96725,4.3,2013-03-24,2013,"New Caledonia",0.63125,15.75,NA,0.06875
29,"164.58.035E.21.22.82S",-21.38033333,164.96725,4.3,2014-01-01,2014,"New Caledonia",0.54375,5.25,NA,0.09375
